
"labour force survey - national and regional - headline indicators (seasonally adjusted)"
"ONS Crown Copyright Reserved [from Nomis on 7 September 2026]"
"Analysis   :","standard"
"Sex        :","Total"
"Economic Activity:","All persons - aged 16 and over"
"Value Type :","Level"

"Date","country:United Kingdom","country:Great Britain","country:England","country:Wales","country:Scotland","country:Northern Ireland","country:England and Wales","gor:North East","gor:North West","gor:Yorkshire and The Humber","gor:East Midlands","gor:West Midlands","gor:East","gor:London","gor:South East","gor:South West","gor:Wales","gor:Scotland","gor:Northern Ireland"

"Nov 2019-Jan 2020",53487923,52003230,45058549,2509159,4435522,1484693,47567708,2134222,5893179,4376014,3903801,4705020,5025605,7072567,7354822,4593319,2509159,4435522,1484693
"Dec 2019-Feb 2020",53501434,52016270,45069709,2510622,4435939,1485164,47580331,2134370,5894768,4376838,3904898,4706241,5027619,7072187,7357557,4595231,2510622,4435939,1485164
"Jan 2020-Mar 2020",53514640,52029195,45080767,2512089,4436339,1485445,47592856,2134575,5896242,4377557,3906228,4707273,5029564,7071780,7360318,4597230,2512089,4436339,1485445
"Feb 2020-Apr 2020",53527878,52042384,45091903,2513631,4436850,1485494,47605534,2134724,5897935,4378232,3907306,4708497,5031608,7071339,7363106,4599156,2513631,4436850,1485494
"Mar 2020-May 2020",53541396,52055306,45103038,2515129,4437139,1486090,47618167,2134970,5899466,4378946,3908392,4709694,5033702,7071004,7365757,4601107,2515129,4437139,1486090
"Apr 2020-Jun 2020",53554878,52068500,45114306,2516626,4437568,1486378,47630932,2135119,5901178,4379732,3909569,4710854,5035674,7070549,7368563,4603068,2516626,4437568,1486378
"May 2020-Jul 2020",53568166,52081643,45125462,2518144,4438037,1486523,47643606,2135321,5902609,4380468,3910803,4712041,5037680,7070219,7371304,4605017,2518144,4438037,1486523
"Jun 2020-Aug 2020",53592865,52105845,45148510,2518602,4438733,1487020,47667112,2136275,5906584,4382061,3913000,4714435,5041929,7068080,7376967,4609179,2518602,4438733,1487020
"Jul 2020-Sep 2020",53617714,52130160,45171528,2519053,4439579,1487554,47690581,2137156,5910465,4383694,3915278,4716852,5046054,7066114,7382551,4613364,2519053,4439579,1487554
"Aug 2020-Oct 2020",53642503,52154351,45194364,2519550,4440437,1488152,47713914,2138099,5914386,4385280,3917493,4719250,5050207,7064042,7388083,4617524,2519550,4440437,1488152
"Sep 2020-Nov 2020",53667636,52179205,45217956,2520018,4441231,1488431,47737974,2139087,5918336,4386950,3919852,4721586,5054460,7062109,7393805,4621771,2520018,4441231,1488431
"Oct 2020-Dec 2020",53692216,52203300,45240766,2520463,4442071,1488916,47761229,2139965,5922212,4388517,3922063,4724102,5058588,7059990,7399345,4625984,2520463,4442071,1488916
"Nov 2020-Jan 2021",53717185,52227726,45264000,2520873,4442853,1489459,47784873,2140858,5926172,4390136,3924417,4726526,5062754,7057945,7405033,4630159,2520873,4442853,1489459
"Dec 2020-Feb 2021",53742121,52252235,45287157,2521387,4443691,1489886,47808544,2141787,5930133,4391722,3926659,4728920,5066882,7055995,7410678,4634381,2521387,4443691,1489886
"Jan 2021-Mar 2021",53767042,52276625,45310220,2521878,4444527,1490417,47832098,2142737,5933971,4393334,3928934,4731337,5071110,7053951,7416298,4638548,2521878,4444527,1490417
"Feb 2021-Apr 2021",53791715,52300883,45333256,2522323,4445304,1490832,47855579,2143712,5937785,4394882,3931322,4733730,5075230,7051959,7421818,4642818,2522323,4445304,1490832
"Mar 2021-May 2021",53816702,52325376,45356450,2522843,4446083,1491326,47879293,2144576,5941834,4396569,3933508,4736132,5079430,7049945,7427479,4646977,2522843,4446083,1491326
"Apr 2021-Jun 2021",53841502,52349715,45379495,2523259,4446961,1491787,47902754,2145511,5945697,4398176,3935770,4738582,5083549,7047883,7433104,4651223,2523259,4446961,1491787
"May 2021-Jul 2021",53866656,52374298,45402812,2523706,4447780,1492358,47926518,2146361,5949633,4399680,3938117,4741004,5087831,7045990,7438801,4655395,2523706,4447780,1492358
"Jun 2021-Aug 2021",53907856,52415222,45438809,2525678,4450735,1492634,47964487,2148941,5955776,4403805,3941496,4745053,5090441,7050807,7443471,4659019,2525678,4450735,1492634
"Jul 2021-Sep 2021",53949346,52456284,45475043,2527576,4453665,1493062,48002619,2151486,5961919,4407898,3944748,4749081,5093032,7055815,7448442,4662622,2527576,4453665,1493062
"Aug 2021-Oct 2021",53990809,52497382,45511227,2529589,4456566,1493427,48040816,2154029,5968152,4411929,3948203,4753105,5095684,7060711,7453233,4666181,2529589,4456566,1493427
"Sep 2021-Nov 2021",54032233,52538514,45547371,2531497,4459646,1493719,48078868,2156557,5974213,4416003,3951649,4757218,5098255,7065665,7458039,4669772,2531497,4459646,1493719
"Oct 2021-Dec 2021",54073315,52579279,45583448,2533352,4462479,1494036,48116800,2159071,5980501,4420065,3955001,4761183,5100894,7070556,7462861,4673316,2533352,4462479,1494036
"Nov 2021-Jan 2022",54114908,52620404,45619676,2535268,4465460,1494504,48154944,2161626,5986691,4424168,3958322,4765230,5103488,7075462,7467714,4676975,2535268,4465460,1494504
"Dec 2021-Feb 2022",54156368,52661430,45655779,2537261,4468390,1494938,48193040,2164175,5992832,4428151,3961685,4769276,5106184,7080414,7472542,4680520,2537261,4468390,1494938
"Jan 2022-Mar 2022",54197638,52702355,45691904,2539149,4471302,1495283,48231053,2166698,5999016,4432199,3965104,4773357,5108703,7085375,7477320,4684132,2539149,4471302,1495283
"Feb 2022-Apr 2022",54239265,52743626,45728253,2541117,4474256,1495639,48269370,2169194,6005204,4436251,3968456,4777426,5111366,7090344,7482216,4687796,2541117,4474256,1495639
"Mar 2022-May 2022",54280575,52784533,45764170,2543073,4477290,1496042,48307243,2171733,6011324,4440374,3971892,4781419,5113907,7095179,7487016,4691326,2543073,4477290,1496042
"Apr 2022-Jun 2022",54322012,52825620,45800491,2544912,4480217,1496392,48345403,2174221,6017541,4444349,3975229,4785455,5116622,7100217,7491879,4694978,2544912,4480217,1496392
"May 2022-Jul 2022",54363606,52866883,45836857,2546900,4483126,1496723,48383757,2176761,6023672,4448500,3978641,4789530,5119309,7105139,7496752,4698553,2546900,4483126,1496723
"Jun 2022-Aug 2022",54417995,52920070,45886305,2549195,4484570,1497925,48435500,2179161,6030213,4453230,3982974,4794775,5124706,7112809,7504760,4703677,2549195,4484570,1497925
"Jul 2022-Sep 2022",54472295,52973497,45935955,2551523,4486019,1498798,48487478,2181505,6036768,4458097,3987209,4799915,5130256,7120576,7512828,4708801,2551523,4486019,1498798
"Aug 2022-Oct 2022",54527043,53027166,45985801,2553843,4487522,1499877,48539644,2183935,6043289,4462890,3991542,4805286,5135709,7128318,7520835,4713997,2553843,4487522,1499877
"Sep 2022-Nov 2022",54581334,53080417,46035217,2556185,4489015,1500917,48591402,2186262,6049793,4467683,3995777,4810467,5141143,7136083,7528914,4719095,2556185,4489015,1500917
"Oct 2022-Dec 2022",54635850,53133960,46085103,2558463,4490394,1501890,48643566,2188641,6056363,4472482,4000132,4815736,5146623,7143872,7536962,4724292,2558463,4490394,1501890
"Nov 2022-Jan 2023",54690241,53187259,46134657,2560756,4491846,1502982,48695413,2191037,6062747,4477295,4004435,4820948,5152132,7151621,7544974,4729468,2560756,4491846,1502982
"Dec 2022-Feb 2023",54744953,53240871,46184405,2563109,4493357,1504082,48747514,2193446,6069315,4482064,4008736,4826201,5157577,7159357,7553099,4734610,2563109,4493357,1504082
"Jan 2023-Mar 2023",54799230,53294169,46234024,2565406,4494739,1505061,48799430,2195817,6075859,4486837,4013062,4831433,5163077,7167038,7561177,4739724,2565406,4494739,1505061
"Feb 2023-Apr 2023",54853885,53347737,46283784,2567740,4496213,1506148,48851524,2198142,6082395,4491675,4017289,4836690,5168603,7174798,7569194,4744998,2567740,4496213,1506148
"Mar 2023-May 2023",54908256,53401123,46333383,2570048,4497692,1507133,48903431,2200524,6088871,4496459,4021584,4841903,5174088,7182602,7577241,4750111,2570048,4497692,1507133
"Apr 2023-Jun 2023",54962601,53454376,46382856,2572375,4499145,1508225,48955231,2202925,6095394,4501270,4025861,4847140,5179460,7190364,7585285,4755157,2572375,4499145,1508225
"May 2023-Jul 2023",55017462,53508213,46432973,2574704,4500536,1509249,49007677,2205280,6101919,4506088,4030260,4852436,5185034,7198132,7593413,4760411,2574704,4500536,1509249
"Jun 2023-Aug 2023",55071911,53561553,46482297,2577066,4502190,1510358,49059363,2207614,6108449,4510915,4034542,4857659,5190487,7205510,7601520,4765601,2577066,4502190,1510358
"Jul 2023-Sep 2023",55126499,53615054,46531791,2579454,4503809,1511445,49111245,2209975,6114942,4515683,4038848,4862916,5195983,7213060,7609597,4770787,2579454,4503809,1511445
"Aug 2023-Oct 2023",55180745,53668275,46581036,2581811,4505428,1512470,49162847,2212384,6121413,4520480,4043119,4868151,5201457,7220543,7617613,4775876,2581811,4505428,1512470
"Sep 2023-Nov 2023",55235488,53722052,46630719,2584266,4507067,1513436,49214985,2214753,6127940,4525333,4047441,4873416,5206998,7228045,7625728,4781065,2584266,4507067,1513436
"Oct 2023-Dec 2023",55290174,53775472,46680138,2586649,4508685,1514702,49266787,2217128,6134439,4530157,4051653,4878674,5212474,7235548,7633818,4786247,2586649,4508685,1514702
"Nov 2023-Jan 2024",55344745,53829090,46729844,2588958,4510288,1515655,49318802,2219481,6141004,4534959,4056046,4883942,5218140,7243073,7641739,4791460,2588958,4510288,1515655
"Dec 2023-Feb 2024",55399136,53882473,46779229,2591363,4511881,1516663,49370592,2221875,6147417,4539751,4060309,4889170,5223647,7250603,7649827,4796630,2591363,4511881,1516663
"Jan 2024-Mar 2024",55453821,53935959,46828655,2593737,4513567,1517862,49422392,2224257,6153912,4544553,4064643,4894407,5229141,7258065,7657889,4801788,2593737,4513567,1517862
"Feb 2024-Apr 2024",55508433,53989513,46878292,2596099,4515122,1518920,49474391,2226626,6160446,4549440,4068972,4899661,5234729,7265577,7665872,4806969,2596099,4515122,1518920
"Mar 2024-May 2024",55563018,54042958,46927663,2598510,4516785,1520060,49526173,2228934,6166961,4554235,4073275,4904900,5240026,7273086,7674069,4812177,2598510,4516785,1520060
"Apr 2024-Jun 2024",55617427,54096417,46977194,2600832,4518391,1521010,49578026,2231379,6173461,4559013,4077632,4910176,5245502,7280548,7682165,4817318,2600832,4518391,1521010
"May 2024-Jul 2024",55672134,54149996,47026746,2603219,4520031,1522138,49629965,2233734,6180019,4563847,4081934,4915440,5251240,7288052,7690036,4822444,2603219,4520031,1522138
"Jun 2024-Aug 2024",55721228,54198172,47071156,2605369,4521647,1523056,49676525,2235828,6185823,4568177,4085743,4920201,5256064,7294668,7697437,4827215,2605369,4521647,1523056
"Jul 2024-Sep 2024",55770554,54246491,47115723,2607451,4523317,1524063,49723174,2237991,6191676,4572537,4089643,4924930,5261058,7301321,7704777,4831790,2607451,4523317,1524063
"Aug 2024-Oct 2024",55819411,54294435,47159881,2609628,4524926,1524976,49769509,2240112,6197473,4576771,4093436,4929646,5265955,7307971,7712027,4836490,2609628,4524926,1524976
"Sep 2024-Nov 2024",55868909,54342956,47204606,2611734,4526616,1525953,49816340,2242236,6203334,4581103,4097308,4934465,5271071,7314554,7719327,4841208,2611734,4526616,1525953
"Oct 2024-Dec 2024",55918004,54391072,47248999,2613849,4528224,1526932,49862848,2244375,6209190,4585427,4101224,4939233,5276034,7321195,7726546,4845775,2613849,4528224,1526932
"Nov 2024-Jan 2025",55967199,54439252,47293398,2616013,4529841,1527947,49909411,2246472,6215005,4589755,4105062,4943963,5280968,7327760,7733901,4850512,2616013,4529841,1527947
"Dec 2024-Feb 2025",56016348,54487440,47337890,2618124,4531426,1528908,49956014,2248594,6220852,4594037,4107956,4948715,5286789,7334376,7741342,4855229,2618124,4531426,1528908
"Jan 2025-Mar 2025",56065403,54535538,47382150,2620280,4533108,1529865,50002430,2250697,6226715,4598369,4111844,4953413,5291654,7340965,7748637,4859856,2620280,4533108,1529865
"Feb 2025-Apr 2025",56114673,54583788,47426546,2622446,4534796,1530885,50048992,2252878,6232572,4602566,4116619,4958025,5295703,7347652,7755985,4864546,2622446,4534796,1530885
"Mar 2025-May 2025",56163428,54631669,47470748,2624506,4536415,1531759,50095254,2255001,6238368,4606877,4120477,4962749,5300688,7354264,7763128,4869196,2624506,4536415,1531759
"Apr 2025-Jun 2025",56212795,54679987,47515333,2626628,4538026,1532808,50141961,2257130,6244281,4611189,4124386,4967497,5305598,7360935,7770513,4873804,2626628,4538026,1532808
"May 2025-Jul 2025",56262084,54728342,47559840,2628805,4539697,1533742,50188645,2259236,6250086,4615458,4128237,4972274,5310632,7367550,7777836,4878531,2628805,4539697,1533742
"Jun 2025-Aug 2025",56306434,54771699,47599770,2630695,4541234,1534735,50230465,2261185,6255380,4619304,4131675,4976474,5315120,7373340,7784466,4882826,2630695,4541234,1534735
"Jul 2025-Sep 2025",56351011,54815397,47640064,2632644,4542689,1535614,50272708,2263156,6260615,4623240,4135168,4980740,5319681,7379265,7791169,4887030,2632644,4542689,1535614
"Aug 2025-Oct 2025",56395473,54859009,47680195,2634568,4544246,1536464,50314763,2265065,6265893,4627137,4138660,4984961,5324287,7385080,7797697,4891415,2634568,4544246,1536464
"Sep 2025-Nov 2025",56440131,54902745,47720515,2636445,4545785,1537386,50356960,2266971,6271314,4631106,4142101,4989182,5328826,7390948,7804466,4895601,2636445,4545785,1537386
"Oct 2025-Dec 2025",56484756,54946396,47760611,2638434,4547351,1538360,50399045,2268945,6276538,4634968,4145628,4993456,5333315,7396830,7811014,4899917,2638434,4547351,1538360
"Nov 2025-Jan 2026",56529338,54990085,47800892,2640323,4548870,1539253,50441215,2270873,6281872,4638868,4149127,4997681,5337887,7402672,7817728,4904184,2640323,4548870,1539253
"Dec 2025-Feb 2026",56573745,55033744,47841189,2642217,4550338,1540001,50483406,2272817,6287140,4642802,4152613,5001930,5342348,7408566,7824407,4908566,2642217,4550338,1540001
"Jan 2026-Mar 2026",56618251,55077295,47881241,2644143,4551911,1540956,50525384,2274737,6292430,4646696,4156133,5006234,5346909,7414339,7831001,4912762,2644143,4551911,1540956
"Feb 2026-Apr 2026",56662898,55121005,47921488,2646062,4553455,1541893,50567550,2276678,6297776,4650529,4159496,5010480,5351460,7420233,7837729,4917107,2646062,4553455,1541893
"Mar 2026-May 2026",56707636,55164810,47961948,2647966,4554896,1542826,50609914,2278631,6303045,4654433,4163094,5014744,5356003,7426164,7844397,4921437,2647966,4554896,1542826
"Apr 2026-Jun 2026",56752119,55208316,48001957,2649879,4556480,1543803,50651836,2280574,6308337,4658333,4166535,5018944,5360589,7432017,7850972,4925656,2649879,4556480,1543803



"","ONS have modelled UK headline series from June to August 2011"
"","until June to August 2022. For these periods the component regional"
"","and country data will not be consistent with these modelled series"
"","and not sum to UK totals."
"",""

"","The employment rate is the number of people in employment divided"
"","by the population of the same age group."
"","The unemployment rate is the number of unemployed people divided"
"","by the economically active population of the same age group."
"","The inactivity rate is the number of inactive people divided"
"","by the population of the same age group."
"",""







"labour force survey - national and regional - headline indicators (seasonally adjusted)"
"ONS Crown Copyright Reserved [from Nomis on 7 September 2026]"
"Analysis   :","standard"
"Sex        :","Total"
"Economic Activity:","Total unemployed - aged 16 and over"
